Brain Region ,Abbreviation,Allen Group Name
"Orbital area, ventrolateral part",ORBvl,Cortical Plate
Parasubiculum,PAR,Cortical Plate
Parasubthalamic nucleus,PSTN,Hypothalamus
Parataenial nucleus,PT,Thalamus
Paraventricular hypothalamic nucleus,PVH,Hypothalamus
Paraventricular nucleus of the thalamus,PVT,Thalamus
Pedunculopontine nucleus,PPN,Midbrain
Periaqueductal gray,PAG,Midbrain
Perirhinal area,PERI,Cortical Plate
"Periventricular hypothalamic nucleus, posterior part",PVp,Hypothalamus
Periventricular zone,PVZ,Hypothalamus
Piriform area,PIR,Cortical Plate
Piriform-amygdalar area,PAA,Cortical Plate
Pons,P,Hindbrain
"Pons, motor related",P-mot,Hindbrain
Posterior amygdalar nucleus,PA,Cortical Subplate
Posterior complex of the thalamus,PO,Thalamus
Posterior hypothalamic nucleus,PH,Hypothalamus
Postsubiculum,POST,Cortical Plate
Precommissural nucleus,PRC,Midbrain
Prelimbic area,PL,Cortical Plate
Presubiculum,PRE,Cortical Plate
Primary auditory area,AUDp,Cortical Plate
Primary motor area,Mop,Cortical Plate
"Primary somatosensory area, lower limb",SSp-ll,Cortical Plate
"Primary somatosensory area, mouth",SSp-m,Cortical Plate
"Primary somatosensory area, trunk",SSp-tr,Cortical Plate
"Primary somatosensory area, upper limb",SSp-ul,Cortical Plate
Primary visual area,VISp,Cortical Plate
Reticular nucleus of the thalamus,RT,Thalamus
Retrochiasmatic area,RCH,Hypothalamus
"Retrosplenial area, dorsal part",RSPd,Cortical Plate
"Retrosplenial area, ventral part",RSPv,Cortical Plate
Secondary motor area,MOs,Cortical Plate
Subiculum,SUB,Cortical Plate
Subparaventricular zone,SBPV,Hypothalamus
Substantia innominate,SI,Pallidum
"Substantia nigra, compact part",SNc,Midbrain
"Substantia nigra, reticular part",SNr,Midbrain
Subthalamic nucleus,STN,Hypothalamus
"Superior colliculus, motor related",SCm,Midbrain
"Superior colliculus, sensory related",SCs,Midbrain
Supplemental somatosensory area,SSs,Cortical Plate
Suprachiasmatic nucleus,SCH,Hypothalamus
Taenia tecta,TT,Cortical Plate
Temporal association areas,Tea,Cortical Plate
Tuberal nucleus,TU,Hypothalamus
Ventral anterior-lateral complex of the thalamus,VAL,Thalamus
Ventral auditory area,AUDv,Cortical Plate
Ventral medial nucleus of the thalamus,VM,Thalamus
Ventral tegmental area,VTA,Midbrain
Ventrolateral preoptic nucleus,VLPO,Hypothalamus
Ventromedial hypothalamic nucleus,VMH,Hypothalamus
Visceral area,VISC,Cortical Plate
Zona incerta,ZI,Hypothalamus
Posteromedial visual area,VISpm,Cortical Plate
